Complaint,CodedMonth,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,CADAddress,CADStreet,XCoord,YCoord
18-030666,2018-07,7/4/2018 19:03,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N 10TH ST / CARR ST,62, , ,908124,1020471
18-030671,2018-07,7/4/2018 19:05,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5216,ROBIN AVE,72,5216,ROBIN,890886.3,1043677
18-030671,2018-07,7/4/2018 19:05,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5216,ROBIN AVE,72,5216,ROBIN,890886.3,1043677
18-030663,2018-07,7/4/2018 19:23,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1108,BATES ST,1,1108,BATES,890593.2,995736.9
18-035694,2018-07,7/4/2018 19:23,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1108,BATES ST,1,1108,BATES,890593.2,995736.9
18-030794,2018-07,7/4/2018 19:28,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4643,LINDELL BLVD,38,4643,LINDELL,888766.9,1023055
18-030957,2018-07,7/4/2018 19:30,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,S BROADWAY / CERRE ST,35, , ,908252.1,1014911
18-034847,2018-07,7/4/2018 19:53,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7801,DECATUR DR,4,7801,DECATUR,883456.8,990992.4
18-030678,2018-07,7/4/2018 20:15,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2000,E OBEAR AVE,66,4949, ,903209.7,1033402
18-030678,2018-07,7/4/2018 20:15,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2000,E OBEAR AVE,66,4949, ,903209.7,1033402
18-030941,2018-07,7/4/2018 20:30,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3221,OHIO AVE,30,3221,OHIO,898102.9,1006167
18-030866,2018-07,7/4/2018 21:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,932,RUTGER ST,34,932,RUTGER,905765.9,1012666
18-030756,2018-07,7/4/2018 21:00,83000,5,ARSON-KNOWINGLY BURNING/SUCCESS,5873,MINERVA AVE,78,5873,MINERVA,881838.5,1032697
18-030756,2018-07,7/4/2018 21:00,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5873,MINERVA AVE,78,5873,MINERVA,881838.5,1032697
18-030777,2018-07,7/4/2018 21:00,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4141,OBEAR AVE,67,4141,OBEAR,901544.1,1031683
18-030683,2018-07,7/4/2018 21:03,63701,1,LARCENY-SHOPLIFT UNDER $500,4660,CHIPPEWA ST,5,4650,CHIPPEWA,885362.3,1003846
18-030686,2018-07,7/4/2018 21:10,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,CARONDELET PARK,80, , ,887492.8,993752.6
18-030684,2018-07,7/4/2018 21:20,44014,2,ASSLT-AGGRV-HND/FST/FT-1ST-ADUL-DOMESTIC,4560,OAKLAND AVE,39,4560,OAKLAND,887860.1,1017602
18-030680,2018-07,7/4/2018 21:23,265321,4,LEAVING SCENE OF ACCIDENT,3858,DR MARTIN LUTHER KING DR,77, , ,896768.1,1025736
18-030792,2018-07,7/4/2018 21:30,65701,6,LARCENY-MTR VEH PARTS UNDER $500,5714,PAMPLIN PL,76,5714,PAMPLIN,890833.9,1047520
18-030685,2018-07,7/4/2018 21:40,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4150,N GRAND BLVD,67,4150,GRAND,902222.8,1031528
18-030804,2018-07,7/4/2018 22:00,64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N JEFFERSON AVE / WASHINGTON A,36, , ,902150.1,1020274
18-030725,2018-07,7/4/2018 22:00,265321,6,LEAVING SCENE OF ACCIDENT,4014,UNION BLVD,70,4014,UNION,890074.4,1037079
18-031235,2018-07,7/4/2018 22:00,43016,4,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,1128,N 9TH ST,62,1230,DILLON,908464.2,1020468
18-030710,2018-07,7/4/2018 22:05,265321,6,LEAVING SCENE OF ACCIDENT,0,I 70 EASTBOUND / N KINGSHIGHWA,84,4629,FARLIN,892747.9,1038788
18-030774,2018-07,7/4/2018 22:15,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3211,OHIO AVE,30,3211,OHIO,898155.4,1006261
18-030701,2018-07,7/4/2018 22:30,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4211,W COOK AVE,58,4211,COOK,893679.8,1026231
18-030701,2018-07,7/4/2018 22:30,91124,5,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4211,W COOK AVE,58,4211,COOK,893679.8,1026231
18-030699,2018-07,7/4/2018 22:30,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3339,OHIO AVE,30, , ,898229.7,1005853
18-030720,2018-07,7/4/2018 22:30,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3903,C D BANKS AVE,77,3903,C D BANKS,895740.8,1024363
18-030688,2018-07,7/4/2018 22:31,265321,4,LEAVING SCENE OF ACCIDENT,0,N 20TH ST / PINE ST,36, , ,903448.5,1018878
18-030691,2018-07,7/4/2018 22:40,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3734,WISCONSIN AVE,18,3736,WISCONSIN,899678.6,1002436
18-030766,2018-07,7/4/2018 22:42,52212,6,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,4292,W NATURAL BRIDGE AVE,56,4292,NATURAL BRIDGE,896021.3,1032515
18-030697,2018-07,7/4/2018 22:55,265321,6,LEAVING SCENE OF ACCIDENT,0,W FLORISSANT AVE / GOODFELLOW,76, , ,890122.3,1048565
18-031347,2018-07,7/4/2018 23:00,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,S BROADWAY / SPRUCE ST,35, , ,908420.1,1015664
18-030789,2018-07,7/4/2018 23:00,265321,1,LEAVING SCENE OF ACCIDENT,3012,MOUNT PLEASANT ST,17,3012,MOUNT PLEASANT,894979.9,997448.4
18-030781,2018-07,7/4/2018 23:00,265321,2,LEAVING SCENE OF ACCIDENT,3283,ALFRED AVE,15,3283,ALFRED,887553.3,1007076
18-030693,2018-07,7/4/2018 23:04,265321,3,LEAVING SCENE OF ACCIDENT,2818,KEOKUK ST,16,2818,KEOKUK,896640.4,1001864
18-030689,2018-07,7/4/2018 23:13,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1247,HODIAMONT AVE,48,1247,HODIAMONT,879842.8,1032097
18-030690,2018-07,7/4/2018 23:20,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2611,BURD AVE,50,2611,BURD,885519.5,1034571
18-030698,2018-07,7/4/2018 23:21,265321,3,LEAVING SCENE OF ACCIDENT,0,S 7TH ST / I 55 SOUTHBOUND,20, , ,906811.3,1012468
18-030711,2018-07,7/4/2018 23:25,82000,2,ARSON-2ND DEGREE/SUCCESS,3674,GRAVOIS AVE,15,3674,GRAVOIS,892611.1,1004341
18-030716,2018-07,7/4/2018 23:30,71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,0,BLASE AVE / HALL ST,74, , ,898179,1046847
18-030715,2018-07,7/4/2018 23:30,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,5980,WABADA AVE,50, , ,882126.8,1035694
18-030715,2018-07,7/4/2018 23:30,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,5980,WABADA AVE,50, , ,882126.8,1035694
18-030715,2018-07,7/4/2018 23:30,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,5980,WABADA AVE,50, , ,882126.8,1035694
18-030706,2018-07,7/4/2018 23:30,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,2741,WYOMING ST,30,2741,WYOMING,897800.9,1006554
18-030715,2018-07,7/4/2018 23:30,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,5980,WABADA AVE,50, , ,882126.8,1035694
18-030708,2018-07,7/4/2018 23:40,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3725,ROBERT AVE,4,3725,ROBERT,886452.3,991981.1
18-030719,2018-07,7/4/2018 23:45,10000,2,HOMICIDE,3949,POTOMAC ST,15,3954,POTOMAC,890871.6,1005529
18-030709,2018-07,7/4/2018 23:50,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3923,CHIPPEWA ST,15,3923,CHIPPEWA,890901.7,1003595
18-031671,2018-07,7/4/2018 23:50,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3923,CHIPPEWA ST,15,3923,CHIPPEWA,890901.7,1003595
18-030726,2018-07,7/4/2018 23:50,41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,8541,MORA LN,73, , ,891705.5,1049021
18-030760,2018-07,7/4/2018 23:55,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1400,SPRUCE,36,401,14TH,0,0
18-030695,2018-07,7/4/2018 23:59,21000,3,RAPE -- FORCIBLE,3600,IOWA AVE,19,3600,IOWA,0,0
18-030767,2018-07,7/5/2018 0:01,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5461,DELMAR BLVD,49,5461,DELMAR,883561.5,1027076
18-034420,2018-07,7/5/2018 0:01,67701,5,LARCENY-FROM BUILDING UNDER $500,1465,GOODFELLOW BLVD,78,1465,GOODFELLOW,882926.9,1033366
18-033849,2018-07,7/5/2018 0:02,65701,6,LARCENY-MTR VEH PARTS UNDER $500,5411,ARLINGTON AVE,71,5411,ARLINGTON,893562.3,1042131
18-030768,2018-07,7/5/2018 0:05,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,6615,LEONA ST,4,6615,LEONA,885425.2,994950.3
18-030722,2018-07,7/5/2018 0:15,265321,1,LEAVING SCENE OF ACCIDENT,4211,IOWA AVE,17, , ,896757.8,999783.9
18-030729,2018-07,7/5/2018 0:20,10000,4,HOMICIDE,1513,N 13TH ST,60, , ,907625.4,1022548
18-030734,2018-07,7/5/2018 0:30,64701,4,LARCENY-FROM MTR VEH UNDER $500,1025,SPRUCE ST,35,1025,SPRUCE,906589.4,1016244
18-030712,2018-07,7/5/2018 0:36,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4226,HARRIS AVE,68,4126,FLORISSANT,898471.6,1034126
18-030731,2018-07,7/5/2018 0:45,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,N 4TH ST / CONVENTION PZ,35,1509,MONROE,909712,1018864
18-030731,2018-07,7/5/2018 0:45,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,N 4TH ST / CONVENTION PZ,35,1509,MONROE,909712,1018864
18-030717,2018-07,7/5/2018 0:50,266510,6,PUBLIC ORDER-TRESPASSING,7557,HALL ST,74,7557,HALL,898564.8,1045187
18-030713,2018-07,7/5/2018 0:50,265321,4,LEAVING SCENE OF ACCIDENT,0,I 55 SOUTHBOUND / S LEONOR K S,35, , ,909998.4,1014481
18-030723,2018-07,7/5/2018 0:50,91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3860,PARK AVE,29, , ,893347.2,1015115
18-030718,2018-07,7/5/2018 0:56,265321,3,LEAVING SCENE OF ACCIDENT,1033,S 11TH ST,34,1033,11TH,905563.9,1014202
18-030786,2018-07,7/5/2018 1:00,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",3716,DARBY ST,70,3716,DARBY,884740.8,1039785
18-030740,2018-07,7/5/2018 1:00,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1444,N 10TH ST,62,845,MCLARAN,908462.7,1021767
18-030721,2018-07,7/5/2018 1:08,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3110,MIAMI ST,19,3110,MIAMI,895704.1,1004019
18-030724,2018-07,7/5/2018 1:15,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3315,MAGNOLIA AVE,25,3315,MAGNOLIA,895564.6,1009570
18-030748,2018-07,7/5/2018 1:30,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,920,NEW HAVEN CT,62,920,NEW HAVEN,908751.3,1021923
18-030733,2018-07,7/5/2018 1:35,265321,4,LEAVING SCENE OF ACCIDENT,0,I 70 WESTBOUND / SAINT LOUIS A,63,4920,BROADWAY,907721.7,1026586
18-030736,2018-07,7/5/2018 1:41,67701,6,LARCENY-FROM BUILDING UNDER $500,11005,RIVERVIEW DR,75,11005,RIVERVIEW,910791.1,1068274
18-030728,2018-07,7/5/2018 1:45,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,901,N 1ST ST,35,901,1ST,910668.8,1019119
18-030728,2018-07,7/5/2018 1:45,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,901,N 1ST ST,35,901,1ST,910668.8,1019119
18-030728,2018-07,7/5/2018 1:45,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,901,N 1ST ST,35,901,1ST,910668.8,1019119
18-030755,2018-07,7/5/2018 1:45,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2810,N 9TH ST,64,2810,9TH,908176.4,1026937
18-030741,2018-07,7/5/2018 1:50,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,700,MARKET ST,35,1325,GRAND,907919.3,1016804
18-030732,2018-07,7/5/2018 1:55,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3946,MINNESOTA AVE,16,3946,MINNESOTA,895515.6,1001592
18-030791,2018-07,7/5/2018 2:00,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4045,OLIVE ST,38,4045,OLIVE,893656.1,1023136
18-031039,2018-07,7/5/2018 2:00,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,999,N 2ND ST,35,999,2ND,910439.8,1019433
18-030765,2018-07,7/5/2018 2:00,52212,4,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,3534,GRATIOT ST,37,3534,GRATIOT,895678.3,1017375
18-030744,2018-07,7/5/2018 2:00,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,S LEONOR K SULLIVAN BLVD,35,720,2ND,0,0
18-030735,2018-07,7/5/2018 2:09,265321,0,LEAVING SCENE OF ACCIDENT,0,I 70 EASTBOUND,0, , ,0,0
18-030745,2018-07,7/5/2018 2:18,265321,4,LEAVING SCENE OF ACCIDENT,2022,E GRAND BLVD,66, , ,903265.5,1032870
18-030753,2018-07,7/5/2018 2:28,265321,4,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / WRIGHT ST,64, , ,908376.3,1027175
18-030746,2018-07,7/5/2018 2:49,182250,2,DRUGS-POSSESSION/COCAINE,2354,MCCAUSLAND AVE,10,2354,MCCAUSLAND,874831.6,1012898
18-033270,2018-07,7/5/2018 2:49,263141,2,OBSTRUCT GOVRN OP-IMPERSONATION/FALSE,3157,SUBLETTE AVE,13,3157,SUBLETTE,882564.6,1008801
18-030775,2018-07,7/5/2018 2:49,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,100,N LEONOR K SULLIVAN BLVD,35, , ,911148.3,1018927
18-030775,2018-07,7/5/2018 2:49,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,100,N LEONOR K SULLIVAN BLVD,35, , ,911148.3,1018927
18-030743,2018-07,7/5/2018 2:57,265321,4,LEAVING SCENE OF ACCIDENT,0,N 4TH ST / PINE ST,35, , ,909303.9,1017205
18-030905,2018-07,7/5/2018 3:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1503,PARK AVE,33,1503,PARK,903768.4,1013303
18-030757,2018-07,7/5/2018 3:08,211000,4,DUI-DRVING WHILE INTOXICATED,0,PSB,35, , ,910087.8,1014403
18-030751,2018-07,7/5/2018 3:36,31111,2,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3601,HARTFORD ST,15, , ,893882.1,1008098
18-030836,2018-07,7/5/2018 3:49,265321,3,LEAVING SCENE OF ACCIDENT,3151,CHEROKEE ST,19,3151,CHEROKEE,895533.9,1005572
18-030754,2018-07,7/5/2018 4:00,41023,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,0,MCLARAN AVE / ORIOLE AVE,74,1309,MCLARAN,894633.6,1049616
18-030754,2018-07,7/5/2018 4:00,41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,0,MCLARAN AVE / ORIOLE AVE,74,1309,MCLARAN,894633.6,1049616
18-031499,2018-07,7/5/2018 6:00,69702,6,LARCENY-ALL OTHER UNDER $500,8558,MORA LN,73,8558,MORA,891848.8,1049471
18-030900,2018-07,7/5/2018 6:00,265321,5,LEAVING SCENE OF ACCIDENT,3945,DELMAR BLVD,58,3945,DELMAR,894725.6,1023548
18-030763,2018-07,7/5/2018 6:10,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",3925,LINDELL BLVD,38,3925,LINDELL,894199,1021580
18-030764,2018-07,7/5/2018 6:21,265321,3,LEAVING SCENE OF ACCIDENT,3016,CALIFORNIA AVE,30,3016,CALIFORNIA,897862.6,1007672
18-030942,2018-07,7/5/2018 6:30,265321,5,LEAVING SCENE OF ACCIDENT,28,NORTH CT,38,400,KINGSHIGHWAY,887894.3,1022418
18-030800,2018-07,7/5/2018 8:00,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 4TH ST / PINE ST,35,200,4TH,909303.9,1017205
18-031441,2018-07,7/5/2018 8:00,69702,4,LARCENY-ALL OTHER UNDER $500,2441,FALL AVE,59,2441,FALL,898957.2,1026676
18-031160,2018-07,7/5/2018 8:00,65701,3,LARCENY-MTR VEH PARTS UNDER $500,2923,VICTOR ST,25,2923,VICTOR,897263.1,1010312
18-030889,2018-07,7/5/2018 8:00,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5253,THRUSH AVE,72,5253,THRUSH,891655.6,1043171
18-030814,2018-07,7/5/2018 9:00,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2911,BRANNON AVE,13,2911,BRANNON,884191.7,1009754
18-030793,2018-07,7/5/2018 9:10,67701,1,LARCENY-FROM BUILDING UNDER $500,4705,NEBRASKA AVE,17,4705,NEBRASKA,895680.4,997012.4
18-030829,2018-07,7/5/2018 9:53,67701,5,LARCENY-FROM BUILDING UNDER $500,4171,LINDELL BLVD,38,4171,LINDELL,892104.8,1022153
18-030802,2018-07,7/5/2018 10:15,51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4939,ALCOTT AVE,72,4900,DAVISON,890872.1,1041037
18-031801,2018-07,7/5/2018 10:30,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4630,NEWPORT AVE,5,4630,NEWPORT,888409.5,1000695
18-034176,2018-07,7/5/2018 11:00,264100,6,HEALTH-SANITATION VIOL,4642,POPE AVE,68,4642,POPE,898332.7,1036480
18-031944,2018-07,7/5/2018 11:00,69702,1,LARCENY-ALL OTHER UNDER $500,7314,VERMONT AVE,2,7314,VERMONT,888823.4,990105.8
18-030806,2018-07,7/5/2018 11:05,63701,1,LARCENY-SHOPLIFT UNDER $500,4101,GRAVOIS AVE,16,4101,GRAVOIS,889849,1003566
18-030812,2018-07,7/5/2018 11:18,10000,6,HOMICIDE,4539,CARRIE AVE,69,4531,CARRIE,897450.3,1036605
18-030951,2018-07,7/5/2018 11:30,52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3177,S GRAND BLVD,15,3177,GRAND,893640.8,1007494
18-030822,2018-07,7/5/2018 11:35,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,0,ARMAND PL / OHIO AVE,24, , ,898984.3,1010695
18-031140,2018-07,7/5/2018 12:00,69602,4,"LARCENY-ALL OTHER $500 - $24,999",3641,COTE BRILLIANTE AVE,59,3641,COTE BRILLIANTE,898436.5,1025837
18-030817,2018-07,7/5/2018 12:19,32211,1,ROBBERY-RESIDENCE  /KNIFE USED/SUCCESSFUL,7508,VERMONT AVE,2,7513,VERMONT,888282.4,989503.8
18-030813,2018-07,7/5/2018 12:25,265321,1,LEAVING SCENE OF ACCIDENT,3500,LOUGHBOROUGH DR,1,950,LOUGHBOROUGH,0,0
18-031036,2018-07,7/5/2018 12:30,265321,4,LEAVING SCENE OF ACCIDENT,0,LOCUST ST / N TUCKER BLVD,35, , ,906723.3,1018621
18-030896,2018-07,7/5/2018 13:00,51122,4,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,0,N GRAND BLVD / N MARKET ST,59, , ,899069,1026100
18-030824,2018-07,7/5/2018 13:22,182250,1,DRUGS-POSSESSION/COCAINE,8011,IDAHO AVE,1, , ,886122.1,988396.1
18-030827,2018-07,7/5/2018 13:29,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,4901,UNION BLVD,71,4901,UNION,891567.3,1039846
18-030834,2018-07,7/5/2018 13:30,63701,2,LARCENY-SHOPLIFT UNDER $500,4255,HAMPTON AVE,8,4255,HAMPTON,878653.4,1004650
18-031493,2018-07,7/5/2018 13:30,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,4255,HAMPTON,878653.4,1004650
18-030825,2018-07,7/5/2018 13:30,265100,1,SAFETY-FIREWORKS VIOLATION,5910,MICHIGAN AVE,1,5910,MICHIGAN,892618.5,993221.6
18-031165,2018-07,7/5/2018 14:00,65701,2,LARCENY-MTR VEH PARTS UNDER $500,6917,HAMPTON AVE,8,6917,HAMPTON,878757.4,997768.9
18-031237,2018-07,7/5/2018 14:00,66701,5,LARCENY-BICYCLES UNDER $500,6186,WATERMAN BLVD,46,6186,WATERMAN,877337.1,1025789
18-031991,2018-07,7/5/2018 14:00,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1818,WASHINGTON AVE,36,1818,WASHINGTON,904155.3,1019609
18-030835,2018-07,7/5/2018 14:10,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3512,GRACE AVE,15,3512,GRACE,893189.9,1005027
18-030927,2018-07,7/5/2018 14:15,69602,5,"LARCENY-ALL OTHER $500 - $24,999",476,N KINGSHIGHWAY BLVD,38,476,KINGSHIGHWAY,887762.3,1025190
18-031761,2018-07,7/5/2018 14:18,69702,5,LARCENY-ALL OTHER UNDER $500,5579,CHAMBERLAIN AVE,48,5579,CHAMBERLAIN,882980.6,1029857
18-030830,2018-07,7/5/2018 14:23,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,900,LOCUST ST,35, , ,907715.6,1018136
18-030832,2018-07,7/5/2018 14:37,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,1200,WASHINGTON AVE,36, , ,906711.3,1018939
18-030946,2018-07,7/5/2018 14:45,71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,1109,HOLLY HILLS AVE,1,1109,HOLLY HILLS,889442.2,993515.3
18-030903,2018-07,7/5/2018 15:00,31311,5,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,5954,ROMAINE PL,78,5954,ROMAINE,881180.5,1033286
18-030844,2018-07,7/5/2018 15:06,265321,5,LEAVING SCENE OF ACCIDENT,200,N KINGSHIGHWAY BLVD,38,1,IKEA,887401.9,1023459
18-030840,2018-07,7/5/2018 15:10,265321,1,LEAVING SCENE OF ACCIDENT,7832,IVORY AVE,2, , ,887585.4,988510.2
18-030837,2018-07,7/5/2018 15:17,265321,6,LEAVING SCENE OF ACCIDENT,5541,GENEVIEVE AVE,72,5541,GENEVIEVE,893145.6,1043811
18-030847,2018-07,7/5/2018 15:30,265321,2,LEAVING SCENE OF ACCIDENT,920,S KINGSHIGHWAY BLVD,39, , ,887794.9,1018553
18-030843,2018-07,7/5/2018 15:55,67701,1,LARCENY-FROM BUILDING UNDER $500,4640,MORGANFORD RD,5,4640,MORGANFORD,887060.6,1001461
18-030850,2018-07,7/5/2018 16:00,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,NATURAL BRIDGE AVE / N VANDEVE,59, , ,899378.6,1030654
18-030876,2018-07,7/5/2018 16:00,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3701,OREGON AVE,19,2822,UTAH,896628.9,1003244
18-030858,2018-07,7/5/2018 16:00,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",700,SCHIRMER ST,1,700,SCHIRMER,887535.1,989302.3
18-031190,2018-07,7/5/2018 16:00,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3927,S GRAND BLVD,16,3927,GRAND,893007.2,1002143
18-030929,2018-07,7/5/2018 16:00,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1435,MALLINCKRODT ST,65,1435,MALLINCKRODT,905986.2,1029460
18-030890,2018-07,7/5/2018 16:36,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,6327,OLEATHA AVE,9,3157,SUBLETTE,878170.8,1006750
18-030848,2018-07,7/5/2018 16:44,63701,1,LARCENY-SHOPLIFT UNDER $500,1020,LOUGHBOROUGH AVE,1,1020,LOUGHBOROUGH,888369.9,991903
18-030857,2018-07,7/5/2018 16:45,41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5745,DELMAR BLVD,48, , ,881216.5,1027231
18-030857,2018-07,7/5/2018 16:45,41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5745,DELMAR BLVD,48, , ,881216.5,1027231
18-030855,2018-07,7/5/2018 16:52,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,0,S BROADWAY / KOELN AVE,2, , ,889708,988524.2
18-030853,2018-07,7/5/2018 16:58,265321,2,LEAVING SCENE OF ACCIDENT,0,S KINGSHIGHWAY BLVD / SOUTHWES,13, , ,886603.8,1011974
18-032322,2018-07,7/5/2018 17:00,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,BLOW ST / MICHIGAN AVE,1,7026,MICHIGAN,889825.8,990257.6
18-030879,2018-07,7/5/2018 17:00,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5860,ROOSEVELT PL,50,5860,ROOSEVELT,883921.6,1036422
18-031231,2018-07,7/5/2018 17:00,64701,2,LARCENY-FROM MTR VEH UNDER $500,2317,KLEMM ST,27,2317,KLEMM,890288.3,1011175
18-031187,2018-07,7/5/2018 17:30,265321,4,LEAVING SCENE OF ACCIDENT,430,S 15TH ST,36,430,15TH,904845.8,1016613
18-030864,2018-07,7/5/2018 17:40,182999,6,DRUGS-POSSESSION/OTHR UNSPEC DRUG,0,OBEAR AVE / PENROSE ST,67, , ,901780.8,1031936
